Date,Month,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,RainToday,RainTomorrow
2019-01-01,Jan,13.7,35.3,0.0,,,E,35,23.8,49,,NNW,4,1012.7,33.7,26,,W,17,1009.1,0,0
2019-01-02,Jan,18.0,35.9,0.0,,,ENE,52,25.1,57,,NNW,4,1011.1,33.8,24,,WNW,26,1007.7,0,0
2019-01-03,Jan,18.4,35.3,0.0,,,NE,37,23.4,64,7.0,ESE,6,1013.4,32.3,32,,NE,11,1009.8,0,0
2019-01-04,Jan,17.2,38.1,0.0,,,NW,46,26.2,51,,NW,2,1013.2,36.3,24,2.0,WNW,20,1008.8,0,0
2019-01-05,Jan,21.1,36.7,0.0,,,NNW,74,31.1,36,,NW,30,1008.6,32.6,29,8.0,WNW,35,1004.9,0,0
2019-01-06,Jan,13.4,25.0,7.0,,,E,43,17.0,70,7.0,SE,15,1015.9,24.3,44,1.0,ENE,22,1015.2,1,0
2019-01-07,Jan,14.8,24.1,0.0,,,NE,33,17.3,72,8.0,ENE,9,1019.2,23.1,58,8.0,NE,11,1016.0,0,1
2019-01-08,Jan,16.8,30.7,11.2,,,NNW,83,20.2,86,1.0,SSE,7,1013.0,29.6,44,4.0,NNW,22,1008.2,1,0
2019-01-09,Jan,13.7,30.7,9.4,,,E,46,18.6,84,2.0,SW,2,1011.9,29.9,26,1.0,NW,20,1009.9,1,1
2019-01-10,Jan,16.4,27.5,0.0,,,ENE,50,19.8,71,8.0,NNE,9,1016.7,26.0,52,,NE,13,1014.5,0,1
2019-01-11,Jan,17.6,29.4,0.0,,,N,70,21.2,71,7.0,NE,9,1018.2,21.5,67,8.0,N,26,1014.6,0,0
2019-01-12,Jan,13.7,34.2,2.2,,,NNW,31,22.1,69,,N,11,1016.2,33.5,32,,NNW,11,1014.2,1,0
2019-01-13,Jan,16.0,29.1,0.0,,,E,44,22.3,38,2.0,ESE,9,1019.6,27.9,44,,NE,20,1017.6,0,1
2019-01-14,Jan,16.0,36.4,0.0,,,NNW,46,21.3,70,7.0,NNE,4,1018.0,33.9,33,,NW,28,1013.0,0,0
2019-01-15,Jan,18.7,40.1,0.0,,,WNW,50,27.8,45,,N,7,1013.0,39.0,10,,W,30,1009.5,0,0
2019-01-16,Jan,20.1,41.6,0.0,,,SSW,44,29.5,37,,SSE,9,1011.7,39.6,10,,NW,11,1008.6,0,0
2019-01-17,Jan,17.1,41.4,0.0,,,NNW,52,27.7,38,,SE,9,1012.2,39.6,19,,WNW,22,1007.9,0,0
2019-01-18,Jan,20.5,40.1,11.2,,,NNW,74,25.1,53,,SSW,7,1012.3,39.0,21,,NNW,33,1007.5,1,0
2019-01-19,Jan,21.4,36.0,1.0,,,E,48,24.5,74,,N,7,1015.4,33.9,32,4.0,NW,13,1014.1,0,1
2019-01-20,Jan,17.1,35.1,0.0,,,ENE,48,18.7,75,8.0,ESE,13,1020.4,32.2,33,,NNE,6,1015.5,0,0
2019-01-21,Jan,16.9,34.3,0.0,,,NE,43,22.1,68,1.0,SE,4,1018.4,32.2,35,2.0,N,26,1013.8,0,0
2019-01-22,Jan,16.9,38.4,0.0,,,NW,52,24.6,55,,WSW,6,1015.6,36.6,25,,NW,24,1011.2,0,0
2019-01-23,Jan,19.7,35.4,2.0,,,E,52,26.1,61,,NW,6,1012.3,24.2,73,8.0,E,20,1010.9,1,0
2019-01-24,Jan,14.9,32.0,4.2,,,E,35,19.3,76,8.0,SE,9,1017.0,29.9,45,1.0,ENE,11,1013.5,1,1
2019-01-25,Jan,15.9,39.4,0.0,,,NW,48,22.4,71,,ESE,6,1013.9,37.2,24,,NNW,24,1009.3,0,1
2019-01-26,Jan,20.5,41.5,0.0,,,NW,63,30.9,37,,SW,6,1009.0,40.7,17,,NW,26,1005.2,0,0
2019-01-27,Jan,21.2,31.2,7.2,,,WSW,50,24.7,67,4.0,N,9,1009.1,28.9,36,8.0,W,24,1010.5,1,0
2019-01-28,Jan,20.0,26.1,0.0,,,E,28,21.8,76,6.0,ENE,13,1015.6,24.5,59,6.0,W,20,1015.4,0,1
2019-01-29,Jan,19.1,35.7,3.2,,,ENE,39,23.2,74,,N,4,1013.8,33.4,37,1.0,NNW,19,1010.8,1,0
2019-01-30,Jan,19.0,37.1,2.6,,,N,69,24.1,67,,SE,6,1012.8,35.3,26,7.0,NNW,28,1008.3,1,1
2019-01-31,Jan,22.2,35.2,0.0,,,ENE,57,28.1,41,,NW,26,1009.1,34.1,31,,WNW,31,1007.6,0,1
2019-02-01,Feb,14.7,20.7,0.0,,,ESE,41,15.3,66,8.0,SE,19,1020.5,20.3,55,8.0,ENE,24,1019.7,0,0
2019-02-02,Feb,15.1,29.5,0.0,,,NNE,30,19.1,77,8.0,E,13,1020.1,26.5,52,8.0,E,7,1016.6,0,0
2019-02-03,Feb,15.9,35.8,0.0,,,SE,41,22.9,69,,NNW,7,1015.8,34.8,29,,NNW,24,1011.3,0,0
2019-02-04,Feb,19.3,33.6,2.2,,,S,63,21.2,79,6.0,NNE,13,1013.2,30.1,41,8.0,W,15,1011.1,1,0
2019-02-05,Feb,17.8,27.0,32.0,,,SSW,41,22.0,70,8.0,SSE,13,1015.9,25.1,60,8.0,SE,22,1014.6,1,1
2019-02-06,Feb,18.0,29.9,2.8,,,E,46,22.5,71,,SE,7,1015.9,29.0,42,5.0,NE,17,1013.3,1,1
2019-02-07,Feb,16.8,31.1,0.0,,,W,39,21.5,67,,ESE,4,1014.7,30.3,39,,NW,20,1009.8,0,1
2019-02-08,Feb,17.3,31.2,0.0,,,WNW,52,22.5,67,8.0,NW,24,1007.8,28.3,28,8.0,W,20,1004.4,0,0
2019-02-09,Feb,15.8,24.4,5.4,,,NW,76,19.6,67,2.0,NNW,24,1000.2,22.2,34,2.0,WNW,41,997.6,1,0
2019-02-10,Feb,5.5,24.9,0.0,,,NNW,41,13.5,56,,N,6,1008.3,22.9,31,,NW,20,1005.8,0,1
2019-02-11,Feb,8.3,28.4,0.0,,,NNW,52,16.2,58,,NNW,7,1006.1,27.2,24,,NNW,31,1001.6,0,0
2019-02-12,Feb,9.8,30.2,0.0,,,NW,81,21.7,34,,NNW,22,998.3,29.7,18,,WNW,44,994.9,0,0
2019-02-13,Feb,11.6,23.0,0.0,,,WNW,43,15.3,35,,W,19,1005.5,21.6,20,,NW,17,1006.3,0,0
2019-02-14,Feb,5.7,27.0,0.0,,,E,35,13.4,70,,WSW,7,1018.6,24.5,28,,W,13,1016.0,0,0
2019-02-15,Feb,13.3,29.5,0.0,,,E,44,18.6,62,1.0,E,7,1023.5,27.9,31,,SW,15,1019.8,0,0
2019-02-16,Feb,10.9,29.0,0.0,,,NNW,24,17.8,66,,ESE,7,1021.2,27.0,30,,WNW,7,1016.2,0,0
2019-02-17,Feb,10.5,33.3,0.0,,,NW,41,18.5,57,,SSW,6,1014.2,31.9,20,1.0,NW,22,1010.3,0,0
2019-02-18,Feb,13.6,36.0,0.0,,,W,69,20.7,56,,S,2,1010.1,35.2,17,,NW,31,1005.0,0,0
2019-02-19,Feb,13.8,32.9,0.0,,,ESE,50,22.0,65,,W,6,1006.0,32.1,8,,W,26,1004.9,0,0
2019-02-20,Feb,14.5,28.9,0.0,,,ENE,46,16.7,70,8.0,NNW,9,1012.4,26.4,29,,NNW,13,1009.2,0,0
2019-02-21,Feb,13.2,27.7,0.0,,,E,43,18.3,72,8.0,ENE,7,1016.1,25.6,45,1.0,NNE,17,1014.3,0,0
2019-02-22,Feb,14.1,26.0,0.0,,,NE,48,16.0,67,8.0,SE,13,1020.7,24.4,36,,SE,20,1018.4,0,0
2019-02-23,Feb,8.9,27.2,0.0,,,E,56,15.7,66,,SE,13,1022.8,25.7,29,,ESE,30,1020.7,0,0
2019-02-24,Feb,10.6,25.7,0.0,,,SSE,39,15.9,52,,SSE,22,1027.8,24.2,27,,SE,19,1026.0,0,0
2019-02-25,Feb,9.5,28.9,0.0,,,NNE,39,16.6,60,,SSE,9,1027.8,27.3,31,,N,15,1023.0,0,0
2019-02-26,Feb,10.4,32.6,0.0,,,ESE,50,16.9,68,, ,0,1021.6,30.6,24,1.0,WNW,15,1016.9,0,0
2019-02-27,Feb,12.5,28.9,0.4,,,ENE,43,18.9,58,,ESE,15,1023.4,27.2,34,,E,19,1020.6,0,0
2019-02-28,Feb,14.0,32.6,0.0,,,E,35,19.5,69,8.0, ,0,1024.3,30.7,25,,N,11,1019.8,0,0
2019-03-01,Mar,14.0,30.3,0.0,,,E,44,19.7,68,3.0,SE,9,1024.9,28.8,25,1.0,NE,17,1022.5,0,0
2019-03-02,Mar,14.7,30.9,0.0,,,NNW,33,20.9,62,,ESE,13,1025.3,28.0,30,8.0,NNW,17,1021.3,0,0
2019-03-03,Mar,12.7,32.3,0.0,,,N,28,18.7,67,,ESE,9,1024.3,31.0,25,,NW,7,1019.8,0,0
2019-03-04,Mar,13.6,34.1,0.0,,,SSW,35,21.4,57,1.0,S,6,1022.0,33.3,19,,NW,7,1018.0,0,0
2019-03-05,Mar,15.3,29.4,0.0,,,W,57,21.5,56,5.0,WSW,15,1017.7,25.9,40,,WNW,13,1013.7,0,0
2019-03-06,Mar,15.9,22.6,0.0,,,NNW,48,19.4,74,8.0,WNW,7,1009.4,21.4,51,1.0,NW,31,1009.9,0,0
2019-03-07,Mar,4.2,23.7,9.8,,,E,39,10.0,55,,SSE,19,1023.3,21.4,29,,NNW,11,1020.4,1,0
2019-03-08,Mar,7.7,28.3,0.0,,,WNW,39,14.1,77,, ,0,1020.9,25.6,37,,NNW,24,1017.4,0,1
2019-03-09,Mar,14.1,29.5,0.2,,,E,41,18.1,82,8.0, ,0,1018.6,27.8,24,8.0,WNW,17,1015.7,0,0
2019-03-10,Mar,11.4,29.6,0.2,,,WSW,59,18.0,70,, ,0,1015.1,27.5,33,6.0,W,28,1010.3,0,0
2019-03-11,Mar,9.9,29.6,0.0,,,NNW,46,16.9,72,,ESE,6,1011.5,29.3,28,,NW,24,1007.8,0,0
2019-03-12,Mar,9.9,26.7,0.2,,,WNW,52,20.4,50,,NW,20,1007.2,25.6,24,,WNW,22,1006.9,0,0
2019-03-13,Mar,13.6,23.4,0.0,,,ENE,37,14.7,74,7.0,SE,7,1016.9,21.1,51,8.0,NNE,17,1015.1,0,0
2019-03-14,Mar,14.6,28.4,0.0,,,ENE,35,18.5,77,6.0, ,0,1014.1,26.2,38,6.0,NW,19,1009.8,0,0
2019-03-15,Mar,12.4,24.9,0.0,,,ESE,37,16.3,68,8.0,SSW,24,1016.0,23.0,42,7.0,ENE,11,1015.8,0,0
